label;country;admin1;admin2;city/town;collection_date
EPI_ISL_19134592|A/redhead_duck/North_Carolina/W24-83A/2024|H5N1|USA-NC|2024-01-18|avian|C2.1;USA;NC;Dare;Unknown;2024-01-18
EPI_ISL_19134613|A/American_white_pelican/North_Carolina/W24-84/2024|H5N1|USA-NC|2024-01-23|avian|C2.1;USA;NC;Dare;Unknown;2024-01-23
EPI_ISL_19134610|A/Canada_goose/North_Carolina/W24-90A/2024|H5N1|USA-NC|2024-02-06|avian|C2.1;USA;NC;Buncombe;Unknown;2024-02-06
EPI_ISL_19736853|A/corvus_ossifragus/Massachusetts/000869-001/2023|H5N1|USA-MA|2023-12-12|avian|C2.1;USA;MA;Barnstable;Chatham;2023-12-12
EPI_ISL_19737350|A/great_black-backed_gulll/Massachusetts/000869-002/2023|H5N1|USA-MA|2023-12-24|avian|C2.1;USA;MA;Barnstable;Provincetown;2023-12-24
EPI_ISL_19737348|A/great_black-backed_gull/Massachusetts/000869-004/2023|H5N1|USA-MA|2023-12-26|avian|C2.1;USA;MA;Barnstable;Dennis;2023-12-26
EPI_ISL_19736851|A/lesser_scaup/Massachusetts/004865-003/2024|H5N1|USA-MA|2024-02-03|avian|C2.1;USA;MA;Suffolk;Winthrop;2024-02-03
EPI_ISL_19736850|A/canada_goose/Massachusetts/004865-004/2024|H5N1|USA-MA|2024-01-16|avian|C2.1;USA;MA;Barnstable;Falmouth;2024-01-16
EPI_ISL_19736849|A/canada_goose/Massachusetts/004865-005/2023|H5N1|USA-MA|2023-12-21|avian|C2.1;USA;MA;Norfolk;Cohasset;2023-12-21
EPI_ISL_19736848|A/canada_goose/Massachusetts/004865-006/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736846|A/canada_goose/Massachusetts/004865-007/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736783|A/canada_goose/Massachusetts/004865-008/2024|H5N1|USA-MA|2024-02-06|avian|C2.1;USA;MA;Essex;Salisbury;2024-02-06
EPI_ISL_19736782|A/canada_goose/Massachusetts/004865-009/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736781|A/canada_goose/Massachusetts/004865-010/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736780|A/canada_goose/Massachusetts/004865-011/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736778|A/canada_goose/Massachusetts/004865-014/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736777|A/canada_goose/Massachusetts/004865-015/2024|H5N1|USA-MA|2024-02-06|avian|C2.1;USA;MA;Essex;Newburyport;2024-02-06
EPI_ISL_19736776|A/canada_goose/Massachusetts/004865-016/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736775|A/canada_goose/Massachusetts/004865-018/2024|H5N1|USA-MA|2024-01-13|avian|C2.1;USA;MA;Barnstable;Chatham;2024-01-13
EPI_ISL_19736844|A/red-tailed_hawk/Massachusetts/004865-019/2024|H5N1|USA-MA|2024-01-13|avian|C2.1;USA;MA;Barnstable;Eastham;2024-01-13
EPI_ISL_19736841|A/canada_goose/Massachusetts/004865-022/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736840|A/canada_goose/Massachusetts/004865-023/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Newbury;2024-02-05
EPI_ISL_19736839|A/canada_goose/Massachusetts/004865-024/2024|H5N1|USA-MA|2024-02-05|avian|C2.1;USA;MA;Essex;Salisbury;2024-02-05
EPI_ISL_19736774|A/canada_goose/Massachusetts/004865-025/2024|H5N1|USA-MA|2024-02-08|avian|C2.1;USA;MA;Essex;Newburyport;2024-02-08
EPI_ISL_19736773|A/canada_goose/Massachusetts/004865-026/2024|H5N1|USA-MA|2024-02-08|avian|C2.1;USA;MA;Essex;Newbury;2024-02-08
EPI_ISL_19736838|A/canada_goose/Massachusetts/007606-001/2024|H5N1|USA-MA|2024-02-08|avian|C2.1;USA;MA;Essex;Newbury;2024-02-08
EPI_ISL_19736837|A/canada_goose/Massachusetts/007606-002/2024|H5N1|USA-MA|2024-02-08|avian|C2.1;USA;MA;Essex;Newbury;2024-02-08
EPI_ISL_19736772|A/canada_goose/Massachusetts/007606-003/2024|H5N1|USA-MA|2024-02-08|avian|C2.1;USA;MA;Essex;Ipswich;2024-02-08
EPI_ISL_19736834|A/canada_goose/Massachusetts/007606-005/2024|H5N1|USA-MA|2024-02-08|avian|C2.1;USA;MA;Essex;Ipswich;2024-02-08
EPI_ISL_19736833|A/sanderling/Massachusetts/007606-006/2024|H5N1|USA-MA|2024-02-12|avian|C2.1;USA;MA;Essex;Salisbury;2024-02-12
EPI_ISL_19736832|A/sanderling/Massachusetts/007606-007/2024|H5N1|USA-MA|2024-02-12|avian|C2.1;USA;MA;Essex;Salisbury;2024-02-12
EPI_ISL_19736831|A/canada_goose/Massachusetts/007606-008/2024|H5N1|USA-MA|2024-02-16|avian|C2.1;USA;MA;Middlesex;Cambridge;2024-02-16
EPI_ISL_19736830|A/bald_eagle/Massachusetts/007606-009/2024|H5N1|USA-MA|2024-02-20|avian|C2.1;USA;MA;Worcester;Harvard;2024-02-20
EPI_ISL_19736828|A/white-winged_scoter/Massachusetts/007607-001/2024|H5N1|USA-MA|2024-02-21|avian|C2.1;USA;MA;Essex;Manchester;2024-02-21
EPI_ISL_19736827|A/white-winged_scoter/Massachusetts/007607-002/2024|H5N1|USA-MA|2024-02-21|avian|C2.1;USA;MA;Essex;Manchester;2024-02-21
EPI_ISL_19736825|A/white-winged_scoter/Massachusetts/007607-003/2024|H5N1|USA-MA|2024-02-23|avian|C2.1;USA;MA;Essex;Manchester;2024-02-23
EPI_ISL_19736771|A/white-winged_scoter/Massachusetts/007607-004/2024|H5N1|USA-MA|2024-02-27|avian|C2.1;USA;MA;Essex;Manchester;2024-02-27
EPI_ISL_19736770|A/sanderling/Massachusetts/007607-006/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Barnstable;Dennis;2024-03-07
EPI_ISL_19736769|A/sanderling/Massachusetts/007607-007/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Barnstable;Dennis;2024-03-07
EPI_ISL_19737347|A/red-tailed_hawk/Massachusetts/007607-009/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Barnstable;Yarmouth;2024-03-07
EPI_ISL_19736824|A/common_eider/Massachusetts/007607-010/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Barnstable;Hull;2024-03-07
EPI_ISL_19736823|A/common_loon/Massachusetts/007608-006/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Essex;Nahant;2024-03-07
EPI_ISL_19736822|A/common_loon/Massachusetts/007608-007/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Essex;Nahant;2024-03-07
EPI_ISL_19736767|A/common_loon/Massachusetts/007608-008/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Essex;Nahant;2024-03-07
EPI_ISL_19736821|A/common_loon/Massachusetts/007608-009/2024|H5N1|USA-MA|2024-03-07|avian|C2.1;USA;MA;Essex;Nahant;2024-03-07
EPI_ISL_19736820|A/canada_goose/Massachusetts/007608-010/2024|H5N1|USA-MA|2024-02-20|avian|C2.1;USA;MA;Middlesex;Cambridge;2024-02-20
EPI_ISL_19736819|A/white-winged_scoter/Massachusetts/007609-001/2024|H5N1|USA-MA|2024-02-23|avian|C2.1;USA;MA;Essex;Manchester;2024-02-23
EPI_ISL_19736816|A/white-winged_scoter/Massachusetts/007609-004/2024|H5N1|USA-MA|2024-02-28|avian|C2.1;USA;MA;Essex;Manchester;2024-02-28
EPI_ISL_19736815|A/white-winged_scoter/Massachusetts/007609-005/2024|H5N1|USA-MA|2024-02-26|avian|C2.1;USA;MA;Essex;Manchester;2024-02-26
EPI_ISL_19736814|A/white-winged_scoter/Massachusetts/007609-006/2024|H5N1|USA-MA|2024-02-26|avian|C2.1;USA;MA;Essex;Manchester;2024-02-26
EPI_ISL_19736812|A/herring_gull/Massachusetts/007609-008/2024|H5N1|USA-MA|2024-03-03|avian|C2.1;USA;MA;Essex;Beverly;2024-03-03
EPI_ISL_19736811|A/herring_gull/Massachusetts/007609-009/2024|H5N1|USA-MA|2024-03-03|avian|C2.1;USA;MA;Essex;Beverly;2024-03-03
EPI_ISL_19736810|A/great_black-backed_gull/Massachusetts/007609-010/2024|H5N1|USA-MA|2024-02-18|avian|C2.1;USA;MA;Barnstable;Provincetown;2024-02-18
EPI_ISL_19736809|A/herring_gull/Massachusetts/007610-002/2024|H5N1|USA-MA|2024-02-22|avian|C2.1;USA;MA;Barnstable;Wellfleet;2024-02-22
EPI_ISL_19736808|A/sanderling/Massachusetts/007610-003/2024|H5N1|USA-MA|2024-02-23|avian|C2.1;USA;MA;Barnstable;Dennis;2024-02-23
EPI_ISL_19736807|A/sanderling/Massachusetts/007610-004/2024|H5N1|USA-MA|2024-02-24|avian|C2.1;USA;MA;Barnstable;Dennis;2024-02-24
EPI_ISL_19736763|A/great_black-backed_gull/Massachusetts/007610-006/2024|H5N1|USA-MA|2024-02-27|avian|C2.1;USA;MA;Barnstable;Wellfleet;2024-02-27
EPI_ISL_19736804|A/white-winged_scoter/Massachusetts/014126-002/2024|H5N1|USA-MA|2024-02-27|avian|C2.1;USA;MA;Essex;Manchester;2024-02-27
EPI_ISL_19736802|A/white-winged_scoter/Massachusetts/014126-003/2024|H5N1|USA-MA|2024-02-26|avian|C2.1;USA;MA;Essex;Manchester;2024-02-26
EPI_ISL_19736762|A/bald_eagle/Massachusetts/014126-004/2024|H5N1|USA-MA|2024-02-23|avian|C2.1;USA;MA;Worcester;Harvard;2024-02-23
EPI_ISL_19736761|A/bald_eagle/Massachusetts/014126-005/2024|H5N1|USA-MA|2024-02-23|avian|C2.1;USA;MA;Worcester;Harvard;2024-02-23
EPI_ISL_19736760|A/white-winged_scoter/Massachusetts/014126-006/2024|H5N1|USA-MA|2024-02-23|avian|C2.1;USA;MA;Worcester;Harvard;2024-02-23
EPI_ISL_19736759|A/bald_eagle/Massachusetts/014126-007/2024|H5N1|USA-MA|2024-03-27|avian|C2.1;USA;MA;Middlesex;Pepperell;2024-03-27
EPI_ISL_19736801|A/great_black-backed_gull/Massachusetts/014126-008/2024|H5N1|USA-MA|2024-02-28|avian|C2.1;USA;MA;Barnstable;Harwich;2024-02-28
EPI_ISL_19736800|A/herring_gull/Massachusetts/014126-009/2024|H5N1|USA-MA|2024-03-01|avian|C2.1;USA;MA;Barnstable;Harwich;2024-03-01
EPI_ISL_19736799|A/american_crow/Massachusetts/014126-010/2024|H5N1|USA-MA|2024-03-01|avian|C2.1;USA;MA;Barnstable;Chatham;2024-03-01
EPI_ISL_19736798|A/sanderling/Massachusetts/014126-012/2024|H5N1|USA-MA|2024-03-04|avian|C2.1;USA;MA;Barnstable;Brewster;2024-03-04
EPI_ISL_19737346|A/white-winged_scoter/Massachusetts/014126-013/2024|H5N1|USA-MA|2024-03-11|avian|C2.1;USA;MA;Essex;Essex;2024-03-11
EPI_ISL_19736912|A/white-winged_scoter/Massachusetts/014126-014/2024|H5N1|USA-MA|2024-03-11|avian|C2.1;USA;MA;Essex;Essex;2024-03-11
EPI_ISL_19736911|A/common_loon/Massachusetts/014126-015/2024|H5N1|USA-MA|2024-03-11|avian|C2.1;USA;MA;Essex;Nahant;2024-03-11
EPI_ISL_19736910|A/common_loon/Massachusetts/014126-016/2024|H5N1|USA-MA|2024-03-11|avian|C2.1;USA;MA;Essex;Nahant;2024-03-11
EPI_ISL_19736909|A/great_horned_owl/Massachusetts/014126-017/2024|H5N1|USA-MA|2024-03-17|avian|C2.1;USA;MA;Middlesex;Cambridge;2024-03-17
EPI_ISL_19736908|A/sanderling/Massachusetts/014126-018/2024|H5N1|USA-MA|2024-03-11|avian|C2.1;USA;MA;Barnstable;Dennis;2024-03-11
EPI_ISL_19736797|A/sanderling/Massachusetts/014126-019/2024|H5N1|USA-MA|2024-03-13|avian|C2.1;USA;MA;Barnstable;Dennis;2024-03-13
EPI_ISL_19736907|A/sanderling/Massachusetts/014126-020/2024|H5N1|USA-MA|2024-03-14|avian|C2.1;USA;MA;Barnstable;Provincetown;2024-03-14
EPI_ISL_19736905|A/sanderling/Massachusetts/014126-022/2024|H5N1|USA-MA|2024-03-20|avian|C2.1;USA;MA;Barnstable;Dennis;2024-03-20
EPI_ISL_19736904|A/red-tailed_hawk/Massachusetts/014126-023/2024|H5N1|USA-MA|2024-03-20|avian|C2.1;USA;MA;Barnstable;Yarmouth;2024-03-20
EPI_ISL_19736901|A/great_black-backed_gull/Massachusetts/014126-025/2024|H5N1|USA-MA|2024-03-24|avian|C2.1;USA;MA;Norfolk;Quincy;2024-03-24
EPI_ISL_19736900|A/great_black-backed_gull/Massachusetts/014126-026/2024|H5N1|USA-MA|2024-03-25|avian|C2.1;USA;MA;Norfolk;Quincy;2024-03-25
EPI_ISL_19736899|A/canada_goose/Massachusetts/014126-027/2024|H5N1|USA-MA|2024-02-14|avian|C2.1;USA;MA;Essex;PlumIsland;2024-02-14
EPI_ISL_19736796|A/canada_goose/Massachusetts/014126-028/2024|H5N1|USA-MA|2024-02-10|avian|C2.1;USA;MA;Essex;PlumIsland;2024-02-10
EPI_ISL_19736898|A/canada_goose/Massachusetts/014126-029/2024|H5N1|USA-MA|2024-02-14|avian|C2.1;USA;MA;Essex;PlumIsland;2024-02-14
EPI_ISL_19736897|A/canada_goose/Massachusetts/014126-030/2024|H5N1|USA-MA|2024-02-14|avian|C2.1;USA;MA;Essex;PlumIsland;2024-02-14
EPI_ISL_19736895|A/canada_goose/Massachusetts/014126-032/2024|H5N1|USA-MA|2024-02-12|avian|C2.1;USA;MA;Essex;Hampton;2024-02-12
EPI_ISL_19736894|A/canada_goose/Massachusetts/014126-033/2024|H5N1|USA-MA|2024-02-12|avian|C2.1;USA;MA;Essex;PlumIsland;2024-02-12
EPI_ISL_19736892|A/canada_goose/Massachusetts/014126-034/2024|H5N1|USA-MA|2024-02-14|avian|C2.1;USA;MA;Essex;PlumIsland;2024-02-14
EPI_ISL_19736891|A/common_raven/Massachusetts/014126-036/2024|H5N1|USA-MA|2024-03-26|avian|C2.1;USA;MA;Plymouth;Plympton;2024-03-26
EPI_ISL_19736890|A/american_crow/Massachusetts/014126-038/2024|H5N1|USA-MA|2024-04-04|avian|C2.1;USA;MA;Barnstable;Yarmouth;2024-04-04
EPI_ISL_19736889|A/american_crow/Massachusetts/014126-039/2024|H5N1|USA-MA|2024-04-19|avian|C2.1;USA;MA;Barnstable;Barnstable;2024-04-19
EPI_ISL_19736888|A/red-tailed_hawk/Massachusetts/014126-040/2024|H5N1|USA-MA|2024-03-15|avian|C2.1;USA;MA;Suffolk;Boston;2024-03-15
EPI_ISL_19736795|A/white-winged_scoter/Massachusetts/014126-041/2024|H5N1|USA-MA|2024-03-15|avian|C2.1;USA;MA;Plymouth;Scituate;2024-03-15
EPI_ISL_19736794|A/great_black-backed_gull/Massachusetts/014126-043/2024|H5N1|USA-MA|2024-03-18|avian|C2.1;USA;MA;Nantucket;Nantucket;2024-03-18
EPI_ISL_19736793|A/great_black-backed_gull/Massachusetts/014126-044/2024|H5N1|USA-MA|2024-03-18|avian|C2.1;USA;MA;Nantucket;Nantucket;2024-03-18
EPI_ISL_19736792|A/bald_eagle/Massachusetts/014126-048/2024|H5N1|USA-MA|2024-03-27|avian|C2.1;USA;MA;Middlesex;Pepperell;2024-03-27
EPI_ISL_19736887|A/bald_eagle/Massachusetts/014126-049/2024|H5N1|USA-MA|2024-03-27|avian|C2.1;USA;MA;Bristol;NorthDartmouth;2024-03-27
EPI_ISL_19736885|A/bald_eagle/Massachusetts/014126-050/2024|H5N1|USA-MA|2024-03-27|avian|C2.1;USA;MA;Middlesex;Pepperell;2024-03-27
EPI_ISL_19736791|A/sanderling/Massachusetts/014126-053/2024|H5N1|USA-MA|2024-04-05|avian|C2.1;USA;MA;Barnstable;Provincetown;2024-04-05
EPI_ISL_19736882|A/sanderling/Massachusetts/014126-054/2024|H5N1|USA-MA|2024-04-05|avian|C2.1;USA;MA;Barnstable;Dennis;2024-04-05
EPI_ISL_19736790|A/sanderling/Massachusetts/014126-055/2024|H5N1|USA-MA|2024-04-05|avian|C2.1;USA;MA;Barnstable;Dennis;2024-04-05
EPI_ISL_19736881|A/sanderling/Massachusetts/014126-056/2024|H5N1|USA-MA|2024-04-05|avian|C2.1;USA;MA;Barnstable;Unknown;2024-04-05
EPI_ISL_19736880|A/sanderling/Massachusetts/014126-057/2024|H5N1|USA-MA|2024-04-05|avian|C2.1;USA;MA;Unknown;Unknown;2024-04-05
EPI_ISL_19736879|A/sanderling/Massachusetts/014126-058/2024|H5N1|USA-MA|2024-04-05|avian|C2.1;USA;MA;Barnstable;Dennis;2024-04-05
EPI_ISL_19736789|A/sanderling/Massachusetts/014126-059/2024|H5N1|USA-MA|2024-04-05|avian|C2.1;USA;MA;Barnstable;Dennis;2024-04-05
EPI_ISL_19736875|A/american_crow/Massachusetts/014126-063/2024|H5N1|USA-MA|2024-03-31|avian|C2.1;USA;MA;Barnstable;Wellfleet;2024-03-31
EPI_ISL_19736874|A/great_black-backed_gull/Massachusetts/014126-064/2024|H5N1|USA-MA|2024-04-04|avian|C2.1;USA;MA;Barnstable;Provincetown;2024-04-04
EPI_ISL_19736788|A/red-tailed_hawk/Massachusetts/014126-065/2024|H5N1|USA-MA|2024-04-15|avian|C2.1;USA;MA;Barnstable;Brewster;2024-04-15
EPI_ISL_19736873|A/american_crow/Massachusetts/014126-066/2024|H5N1|USA-MA|2024-04-28|avian|C2.1;USA;MA;Barnstable;Orleans;2024-04-28
EPI_ISL_19736869|A/scoter/Massachusetts/014126-071/2024|H5N1|USA-MA|2024-04-12|avian|C2.1;USA;MA;Essex;Nahant;2024-04-12
EPI_ISL_19736787|A/scoter/Massachusetts/014126-072/2024|H5N1|USA-MA|2024-04-12|avian|C2.1;USA;MA;Essex;Nahant;2024-04-12
EPI_ISL_19736867|A/american_crow/Massachusetts/014126-073/2024|H5N1|USA-MA|2024-04-11|avian|C2.1;USA;MA;Barnstable;Bourne;2024-04-11
EPI_ISL_19736866|A/american_crow/Maine/014127-001/2024|H5N1|USA-ME|2024-01-30|avian|C2.1;USA;ME;York;Kittery;2024-01-30
EPI_ISL_19736785|A/canada_goose/New_Hampshire/014129-001/2023|H5N1|USA-NH|2023-12-12|avian|C2.1;USA;NH;Stafford;Dover;2023-12-12
EPI_ISL_19736863|A/surf_scoter/Rhode_Island/014130-001/2024|H5N1|USA-RI|2024-03-08|avian|C2.1;USA;RI;Providence;Cranston;2024-03-08
EPI_ISL_19736859|A/herring_gull/Rhode_Island/014130-006/2024|H5N1|USA-RI|2024-04-23|avian|C2.1;USA;RI;Bristol;Barrington;2024-04-23
EPI_ISL_19490391|A/green-winged_teal/New_York/23-033302-033-original/2023|H5N1|USA-NY|2023-10-21|avian|C2.1;USA;NY;Genesee;Unknown;2023-10-21
EPI_ISL_19341011|A/pintail/Florida/23-038109-023-original/2023|H5N1|USA-FL|2023-11-25|avian|C2.1;USA;FL;Brevard;Unknown;2023-11-25
EPI_ISL_19341014|A/lesser_scaup/Florida/23-038112-015-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1;USA;FL;Brevard;Unknown;2023-11-18
EPI_ISL_19371793|A/ring-necked_duck/Florida/23-038112-052-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1;USA;FL;Brevard;Unknown;2023-11-18
EPI_ISL_19372782|A/blue-winged_teal/Florida/23-038112-097-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1;USA;FL;Brevard;Unknown;2023-11-18
EPI_ISL_19560372|A/American_black_duck/New_York/23-038880-007-original/2023|H5N1|USA-NY|2023-12-02|avian|C2.1;USA;NY;Unknown;Unknown;2023-12-02
EPI_ISL_19560373|A/mallard/New_York/23-038880-010-original/2023|H5N1|USA-NY|2023-12-02|avian|C2.1;USA;NY;Unknown;Unknown;2023-12-02
EPI_ISL_19224082|A/partridge/New_York/23-039086-003-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1;USA;NY;Dutchess;Unknown;2023-12-11
EPI_ISL_19224083|A/partridge/New_York/23-039086-005-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1;USA;NY;Dutchess;Unknown;2023-12-11
EPI_ISL_19560382|A/ring-necked_duck/Florida/23-039641-001-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1;USA;FL;Unknown;Unknown;2023-12-09
EPI_ISL_19560383|A/lesser_scaup/Florida/23-039641-009-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1;USA;FL;Unknown;Unknown;2023-12-09
EPI_ISL_19559073|A/ring-necked_duck/Florida/23-039641-014-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1;USA;FL;Unknown;Unknown;2023-12-09
EPI_ISL_19560349|A/pintail/Florida/23-040586-004-original-m/2023|H5N1|USA-FL|2023-12-09|avian|C2.1;USA;FL;Unknown;Unknown;2023-12-09
EPI_ISL_19560353|A/ring-necked_duck/Florida/23-040586-018-original-kf/2023|H5N1|USA-FL|2023-12-09|avian|C2.1;USA;FL;Unknown;Unknown;2023-12-09
EPI_ISL_19288895|A/pheasant/Pennsylvania/23-040876-001-original/2023|H5N1|USA-PA|2023-12-21|avian|C2.1;USA;PA;Northumberland;Unknown;2023-12-21
EPI_ISL_19559096|A/American_black_duck/North_Carolina/23-041152-003-original2/2023|H5N1|USA-NC|2023-12-19|avian|C2.1;USA;NC;Unknown;Unknown;2023-12-19
EPI_ISL_19660916|A/American_wigeon/North_Carolina/24-000834-003-original/2023|H5N1|USA-NC|2023-12-28|avian|C2.1;USA;NC;Unknown;Unknown;2023-12-28
EPI_ISL_19372796|A/chicken/Massachusetts/24-001134-001-original/2024|H5N1|USA-MA|2024-01-10|avian|C2.1;USA;MA;Barnstable;Unknown;2024-01-10
EPI_ISL_19559104|A/American_wigeon/North_Carolina/24-001600-017-original/2024|H5N1|USA-NC|2024-01-06|avian|C2.1;USA;NC;Unknown;Unknown;2024-01-06
EPI_ISL_19372800|A/chicken/South_Carolina/24-001707-001-original/2024|H5N1|USA-SC|2024-01-09|avian|C2.1;USA;SC;Orangeburg;Unknown;2024-01-09
EPI_ISL_19372801|A/chicken/South_Carolina/24-001707-002-original/2024|H5N1|USA-SC|2024-01-18|avian|C2.1;USA;SC;Orangeburg;Unknown;2024-01-18
EPI_ISL_19660921|A/mallard/Maine/24-002154-009-original/2024|H5N1|USA-ME|2024-01-09|avian|C2.1;USA;ME;Unknown;Unknown;2024-01-09
EPI_ISL_19490414|A/American_wigeon/North_Carolina/24-002161-002-original/2024|H5N1|USA-NC|2024-01-13|avian|C2.1;USA;NC;Hyde;Unknown;2024-01-13
EPI_ISL_19490415|A/mallard/New_Hampshire/24-002162-001-original/2024|H5N1|USA-NH|2024-01-17|avian|C2.1;USA;NH;Merrimack;Unknown;2024-01-17
EPI_ISL_19372807|A/chicken/Maine/24-002533-001-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1;USA;ME;Kennebec;Unknown;2024-01-23
EPI_ISL_19372808|A/chicken/Maine/24-002533-002-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1;USA;ME;Kennebec;Unknown;2024-01-23
EPI_ISL_19372815|A/chicken/Pennsylvania/24-003804-001-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1;USA;PA;Wayne;Unknown;2024-02-03
EPI_ISL_19372816|A/chicken/Pennsylvania/24-003804-003-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1;USA;PA;Wayne;Unknown;2024-02-03
EPI_ISL_19372817|A/chicken/Massachusetts/24-003817-001-original/2024|H5N1|USA-MA|2024-02-02|avian|C2.1;USA;MA;Essex;Unknown;2024-02-02
EPI_ISL_19387824|A/wood_duck/Mississippi/24-004128-001-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1;USA;MS;Leflore;Unknown;2024-01-29
