label,country,admin1,admin2,collection_date,location
EPI_ISL_20206696|A/Chicken/AB/FAV-0340-001/2025__H5N1_|H5N1|Canada-AB|Unknown|2025-10-03|domestic_avian|D1.1,Canada,AB,Unknown,2025-10-03,Canada_AB_Unknown
EPI_ISL_19792234|A/Chicken/AB/FAV-0354-2/2024|H5N1|Canada-AB|Unknown|2024-11-11|domestic_avian|D1.1,Canada,AB,Unknown,2024-11-11,Canada_AB_Unknown
EPI_ISL_19792252|A/Cat/AB/FAV-0015-1/2025|H5N1|Canada-AB|Unknown|2024-11-27|feline|D1.1,Canada,AB,Unknown,2024-11-27,Canada_AB_Unknown
EPI_ISL_20208386|A/Black-Billed_Magpie/AB/FAV-0101-2/2025|H5N1|Canada-AB|Unknown|2025-01-27|wild_avian|D1.1,Canada,AB,Unknown,2025-01-27,Canada_AB_Unknown
EPI_ISL_20208387|A/Black-Billed_Magpie/AB/FAV-0102/2025|H5N1|Canada-AB|Unknown|2025-02-13|wild_avian|D1.1,Canada,AB,Unknown,2025-02-13,Canada_AB_Unknown
EPI_ISL_20208389|A/Cackling_Goose/AB/FAV-0398-1/2024|H5N1|Canada-AB|Unknown|2024-10-23|wild_avian|D1.1,Canada,AB,Unknown,2024-10-23,Canada_AB_Unknown
EPI_ISL_20208391|A/Canada_Goose/AB/FAV-0178-6/2025|H5N1|Canada-AB|Unknown|2024-11-10|wild_avian|D1.1,Canada,AB,Unknown,2024-11-10,Canada_AB_Unknown
EPI_ISL_20208404|A/Chicken/AB/FAV-0161-1/2025|H5N1|Canada-AB|Unknown|2025-05-09|domestic_avian|D1.1,Canada,AB,Unknown,2025-05-09,Canada_AB_Unknown
EPI_ISL_20208426|A/Great_Horned_Owl/AB/FAV-0178-1/2025|H5N1|Canada-AB|Unknown|2024-12-10|wild_avian|D1.1,Canada,AB,Unknown,2024-12-10,Canada_AB_Unknown
EPI_ISL_20208456|A/Turkey/AB/FAV-0270/2025|H5N1|Canada-AB|Unknown|2025-09-03|domestic_avian|D1.1,Canada,AB,Unknown,2025-09-03,Canada_AB_Unknown
EPI_ISL_20208457|A/Turkey/AB/FAV-0274/2025|H5N1|Canada-AB|Unknown|2025-09-09|domestic_avian|D1.1,Canada,AB,Unknown,2025-09-09,Canada_AB_Unknown
EPI_ISL_19533305|A/Red_Tailed_Hawk/BC/AIVPHL-2513/2024|H5N1|Canada-BC|Unknown|2024-10-07|wild_avian|D1.1,Canada,BC,Unknown,2024-10-07,Canada_BC_Unknown
EPI_ISL_19533307|A/Green_Winged_Teal/BC/AIVPHL-2526/2024|H5N1|Canada-BC|Unknown|2024-10-09|wild_avian|D1.1,Canada,BC,Unknown,2024-10-09,Canada_BC_Unknown
EPI_ISL_19533308|A/Canada_Goose/BC/AIVPHL-2528/2024|H5N1|Canada-BC|Unknown|2024-10-11|wild_avian|D1.1,Canada,BC,Unknown,2024-10-11,Canada_BC_Unknown
EPI_ISL_19533310|A/Canada_Goose/BC/AIVPHL-2531/2024|H5N1|Canada-BC|Unknown|2024-10-14|wild_avian|D1.1,Canada,BC,Unknown,2024-10-14,Canada_BC_Unknown
EPI_ISL_19533314|A/Snow_Goose/BC/AIVPHL-2538/2024|H5N1|Canada-BC|Unknown|2024-10-21|wild_avian|D1.1,Canada,BC,Unknown,2024-10-21,Canada_BC_Unknown
EPI_ISL_19533318|A/Cackling_Goose/BC/AIVPHL-2541/2024|H5N1|Canada-BC|Unknown|2024-10-23|wild_avian|D1.1,Canada,BC,Unknown,2024-10-23,Canada_BC_Unknown
EPI_ISL_19547861|A/Turkey/BC/FAV-0267-1/2024|H5N1|Canada-BC|Unknown|2024-10-20|domestic_avian|D1.1,Canada,BC,Unknown,2024-10-20,Canada_BC_Unknown
EPI_ISL_19751739|A/American_Wigeon/BC/AIVPHL-2552/2024|H5N1|Canada-BC|Unknown|2024-10-17|wild_avian|D1.1,Canada,BC,Unknown,2024-10-17,Canada_BC_Unknown
EPI_ISL_19751740|A/Canada_Goose/BC/AIVPHL-2563/2024|H5N1|Canada-BC|Unknown|2024-10-25|wild_avian|D1.1,Canada,BC,Unknown,2024-10-25,Canada_BC_Unknown
EPI_ISL_19751741|A/Snow_Goose/BC/AIVPHL-2558/2024|H5N1|Canada-BC|Unknown|2024-10-23|wild_avian|D1.1,Canada,BC,Unknown,2024-10-23,Canada_BC_Unknown
EPI_ISL_19751742|A/Peregrine_Falcon/BC/AIVPHL-2576/2024|H5N1|Canada-BC|Unknown|2024-10-28|wild_avian|D1.1,Canada,BC,Unknown,2024-10-28,Canada_BC_Unknown
EPI_ISL_19751743|A/Red_Tailed_Hawk/BC/AIVPHL-2577/2024|H5N1|Canada-BC|Unknown|2024-10-28|wild_avian|D1.1,Canada,BC,Unknown,2024-10-28,Canada_BC_Unknown
EPI_ISL_19751744|A/Green_Winged_Teal/BC/AIVPHL-2559/2024|H5N1|Canada-BC|Unknown|2024-10-23|wild_avian|D1.1,Canada,BC,Unknown,2024-10-23,Canada_BC_Unknown
EPI_ISL_19751746|A/Snow_Goose/BC/AIVPHL-2561/2024|H5N1|Canada-BC|Unknown|2024-10-24|wild_avian|D1.1,Canada,BC,Unknown,2024-10-24,Canada_BC_Unknown
EPI_ISL_19751755|A/American_Wigeon/BC/AIVPHL-2578/2024|H5N1|Canada-BC|Unknown|2024-10-28|wild_avian|D1.1,Canada,BC,Unknown,2024-10-28,Canada_BC_Unknown
EPI_ISL_19751757|A/Cackling_Goose/BC/AIVPHL-2582/2024|H5N1|Canada-BC|Unknown|2024-10-26|wild_avian|D1.1,Canada,BC,Unknown,2024-10-26,Canada_BC_Unknown
EPI_ISL_19751758|A/Northern_Pintail/BC/AIVPHL-2584/2024|H5N1|Canada-BC|Unknown|2024-10-28|wild_avian|D1.1,Canada,BC,Unknown,2024-10-28,Canada_BC_Unknown
EPI_ISL_19751759|A/Snow_Goose/BC/AIVPHL-2585/2024|H5N1|Canada-BC|Unknown|2024-10-28|wild_avian|D1.1,Canada,BC,Unknown,2024-10-28,Canada_BC_Unknown
EPI_ISL_19751760|A/Cackling_Goose/BC/AIVPHL-2586/2024|H5N1|Canada-BC|Unknown|2024-10-30|wild_avian|D1.1,Canada,BC,Unknown,2024-10-30,Canada_BC_Unknown
EPI_ISL_19751761|A/Red_Tailed_Hawk/BC/AIVPHL-2590/2024|H5N1|Canada-BC|Unknown|2024-10-31|wild_avian|D1.1,Canada,BC,Unknown,2024-10-31,Canada_BC_Unknown
EPI_ISL_19751762|A/Barred_Owl/BC/AIVPHL-2591/2024|H5N1|Canada-BC|Unknown|2024-10-31|wild_avian|D1.1,Canada,BC,Unknown,2024-10-31,Canada_BC_Unknown
EPI_ISL_19751763|A/Cackling_Goose/BC/AIVPHL-2594/2024|H5N1|Canada-BC|Unknown|2024-10-31|wild_avian|D1.1,Canada,BC,Unknown,2024-10-31,Canada_BC_Unknown
EPI_ISL_19751764|A/Canada_Goose/BC/AIVPHL-2597/2024|H5N1|Canada-BC|Unknown|2024-10-30|wild_avian|D1.1,Canada,BC,Unknown,2024-10-30,Canada_BC_Unknown
EPI_ISL_19751766|A/Green_Winged_Teal/BC/AIVPHL-2580/2024|H5N1|Canada-BC|Unknown|2024-10-31|wild_avian|D1.1,Canada,BC,Unknown,2024-10-31,Canada_BC_Unknown
EPI_ISL_19751768|A/Snow_Goose/BC/AIVPHL-2636/2024|H5N1|Canada-BC|Unknown|2024-11-02|wild_avian|D1.1,Canada,BC,Unknown,2024-11-02,Canada_BC_Unknown
EPI_ISL_19751769|A/Cackling_Goose/BC/AIVPHL-2649/2024|H5N1|Canada-BC|Unknown|2024-11-07|wild_avian|D1.1,Canada,BC,Unknown,2024-11-07,Canada_BC_Unknown
EPI_ISL_19751774|A/Snow_Goose/BC/AIVPHL-2640/2024|H5N1|Canada-BC|Unknown|2024-11-03|wild_avian|D1.1,Canada,BC,Unknown,2024-11-03,Canada_BC_Unknown
EPI_ISL_19751775|A/Cackling_Goose/BC/AIVPHL-2629/2024|H5N1|Canada-BC|Unknown|2024-10-31|wild_avian|D1.1,Canada,BC,Unknown,2024-10-31,Canada_BC_Unknown
EPI_ISL_19751776|A/Cackling_Goose/BC/AIVPHL-2624/2024|H5N1|Canada-BC|Unknown|2024-10-30|wild_avian|D1.1,Canada,BC,Unknown,2024-10-30,Canada_BC_Unknown
EPI_ISL_19751778|A/Cackling_Goose/BC/AIVPHL-2630/2024|H5N1|Canada-BC|Unknown|2024-10-31|wild_avian|D1.1,Canada,BC,Unknown,2024-10-31,Canada_BC_Unknown
EPI_ISL_19787953|A/Red_Tailed_Hawk/BC/AIVPHL-2916/2024|H5N1|Canada-BC|Unknown|2024-12-10|wild_avian|D1.1,Canada,BC,Unknown,2024-12-10,Canada_BC_Unknown
EPI_ISL_19787954|A/American_Kestrel/BC/AIVPHL-2866/2024|H5N1|Canada-BC|Unknown|2024-11-06|wild_avian|D1.1,Canada,BC,Unknown,2024-11-06,Canada_BC_Unknown
EPI_ISL_19787955|A/Red_Tailed_Hawk/BC/AIVPHL-2868/2024|H5N1|Canada-BC|Unknown|2024-11-10|wild_avian|D1.1,Canada,BC,Unknown,2024-11-10,Canada_BC_Unknown
EPI_ISL_19787956|A/Red_Tailed_Hawk/BC/AIVPHL-2870/2024|H5N1|Canada-BC|Unknown|2024-11-18|wild_avian|D1.1,Canada,BC,Unknown,2024-11-18,Canada_BC_Unknown
EPI_ISL_19787957|A/Green_Winged_Teal/BC/AIVPHL-2925/2024|H5N1|Canada-BC|Unknown|2024-10-25|wild_avian|D1.1,Canada,BC,Unknown,2024-10-25,Canada_BC_Unknown
EPI_ISL_19787958|A/Glaucous_Winged_Gull/BC/AIVPHL-2926/2024|H5N1|Canada-BC|Unknown|2024-11-04|wild_avian|D1.1,Canada,BC,Unknown,2024-11-04,Canada_BC_Unknown
EPI_ISL_19787959|A/Canada_Goose/BC/AIVPHL-2927/2024|H5N1|Canada-BC|Unknown|2024-11-04|wild_avian|D1.1,Canada,BC,Unknown,2024-11-04,Canada_BC_Unknown
EPI_ISL_19787961|A/Canada_Goose/BC/AIVPHL-2929/2024|H5N1|Canada-BC|Unknown|2024-11-13|wild_avian|D1.1,Canada,BC,Unknown,2024-11-13,Canada_BC_Unknown
EPI_ISL_19787965|A/Canada_Goose/BC/AIVPHL-2659/2024|H5N1|Canada-BC|Unknown|2024-11-06|wild_avian|D1.1,Canada,BC,Unknown,2024-11-06,Canada_BC_Unknown
EPI_ISL_19787967|A/Glaucous_Winged_Gull/BC/AIVPHL-2663/2024|H5N1|Canada-BC|Unknown|2024-11-10|wild_avian|D1.1,Canada,BC,Unknown,2024-11-10,Canada_BC_Unknown
EPI_ISL_19787968|A/Canada_Goose/BC/AIVPHL-2656/2024|H5N1|Canada-BC|Unknown|2024-10-17|wild_avian|D1.1,Canada,BC,Unknown,2024-10-17,Canada_BC_Unknown
EPI_ISL_19787970|A/Common_Goldeneye/BC/AIVPHL-2674/2024|H5N1|Canada-BC|Unknown|2024-11-15|wild_avian|D1.1,Canada,BC,Unknown,2024-11-15,Canada_BC_Unknown
EPI_ISL_19787973|A/Glaucous_Winged_Gull/BC/AIVPHL-2678/2024|H5N1|Canada-BC|Unknown|2024-11-19|wild_avian|D1.1,Canada,BC,Unknown,2024-11-19,Canada_BC_Unknown
EPI_ISL_19787977|A/Cackling_Goose/BC/AIVPHL-2672/2024|H5N1|Canada-BC|Unknown|2024-11-13|wild_avian|D1.1,Canada,BC,Unknown,2024-11-13,Canada_BC_Unknown
